,Q0,Q1,Y,pred
0,0.34194615483283997,0.5723868608474731,0,1
1,0.3435938060283661,0.5735787153244019,1,1
2,0.34832456707954407,0.5897643566131592,0,1
3,0.34625306725502014,0.5731272101402283,0,1
4,0.3483840823173523,0.5667884349822998,1,1
5,0.3331149220466614,0.5738484859466553,0,1
6,0.3397652506828308,0.5602788329124451,0,1
7,0.34832215309143066,0.5706866979598999,1,1
8,0.3459417223930359,0.5522298216819763,1,1
9,0.3383299708366394,0.5733098387718201,0,1
10,0.3448483645915985,0.5570417642593384,0,1
11,0.34400320053100586,0.5883065462112427,1,1
12,0.3336827754974365,0.5796720385551453,0,1
13,0.3533322215080261,0.5724419355392456,1,1
14,0.33790144324302673,0.5881912112236023,1,1
15,0.3393045663833618,0.569005012512207,0,1
16,0.35464584827423096,0.57607501745224,0,1
17,0.34476596117019653,0.5539305806159973,0,1
18,0.33528679609298706,0.5740529894828796,1,1
19,0.345593124628067,0.583953857421875,1,1
20,0.33493173122406006,0.570778489112854,1,1
21,0.34661203622817993,0.5667486786842346,0,1
22,0.34005212783813477,0.5665856599807739,1,1
23,0.34305912256240845,0.5883203744888306,0,1
24,0.34984737634658813,0.5423597097396851,0,1
25,0.34005653858184814,0.570248007774353,0,1
26,0.3414365351200104,0.5731542110443115,1,1
27,0.3455171585083008,0.5684414505958557,0,1
28,0.3365546762943268,0.5585222244262695,0,1
29,0.34775349497795105,0.5479692816734314,1,1
30,0.3442760109901428,0.549801230430603,0,1
31,0.3342050611972809,0.5555837750434875,0,1
32,0.3374534547328949,0.5580835342407227,1,1
33,0.3428913354873657,0.5839082598686218,1,1
34,0.3415878415107727,0.5616257190704346,0,1
35,0.3319573700428009,0.5728895664215088,0,1
36,0.3448481857776642,0.549602746963501,0,1
37,0.3539069592952728,0.5685943365097046,1,1
38,0.3295104503631592,0.5721122026443481,0,1
39,0.3519526720046997,0.5909231305122375,0,1
40,0.3499425947666168,0.5702224969863892,0,1
41,0.3404122591018677,0.5641740560531616,0,1
42,0.33507290482521057,0.5573040843009949,1,1
43,0.33469170331954956,0.5775994062423706,0,1
44,0.3279384672641754,0.5588283538818359,0,1
45,0.3478355407714844,0.5804189443588257,0,1
46,0.35345518589019775,0.5577884316444397,0,1
47,0.3358174264431,0.5451415181159973,0,1
48,0.3464226722717285,0.5423144102096558,0,1
49,0.3357270658016205,0.5727968811988831,1,1
50,0.33329811692237854,0.570769727230072,1,1
51,0.3418803811073303,0.5615932941436768,0,1
52,0.33956754207611084,0.5806701183319092,1,1
53,0.34368300437927246,0.5520568490028381,1,1
54,0.3444269895553589,0.570101797580719,1,1
55,0.33941444754600525,0.586932897567749,1,1
56,0.3468981981277466,0.563616156578064,0,1
57,0.35119572281837463,0.5742042660713196,0,1
58,0.33841201663017273,0.5749123096466064,1,1
59,0.3380078375339508,0.5674847960472107,1,1
60,0.34578055143356323,0.5850225687026978,1,1
61,0.33807823061943054,0.5840827822685242,1,1
62,0.3492712080478668,0.5675786137580872,1,1
63,0.3431287109851837,0.5704156756401062,0,1
64,0.3563340902328491,0.5833237767219543,0,1
65,0.3543992042541504,0.5439554452896118,0,1
66,0.3459984362125397,0.576095461845398,0,1
67,0.3466510474681854,0.5745192766189575,1,1
68,0.34289276599884033,0.581102728843689,0,1
69,0.3414272367954254,0.5645795464515686,0,1
70,0.3285650610923767,0.5490293502807617,0,1
71,0.3461728096008301,0.5542269349098206,1,1
72,0.3418489992618561,0.5668116807937622,0,1
73,0.351385235786438,0.5641958117485046,0,1
74,0.3407058119773865,0.5627973079681396,0,1
75,0.3416607677936554,0.5446961522102356,1,1
76,0.3430913984775543,0.5553619861602783,1,1
