exp_name,seed,model_name,batch_size,epochs,ATE,desc,treatment_column,confounds_column,ATE_unadjusted,ATE_adjusted
exp1,42,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.02443101569694156,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_contains_text_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.11066695240986679,-0.07737378547879642
exp2,42,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.04940989699913342,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.14617526183216234,-0.13355803602530286
exp3,123,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.02450983862876694,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_contains_text_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.11066695240986679,-0.07737378547879642
exp4,123,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.06455255215728108,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.14617526183216234,-0.13355803602530286
exp5,456,timm/eva02_tiny_patch14_224.mim_in22k,32,3,0.005159394513177882,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_contains_text_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.11066695240986679,-0.07737378547879642
exp6,456,timm/eva02_tiny_patch14_224.mim_in22k,32,3,0.013097178507111621,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.14617526183216234,-0.13355803602530286
exp7,789,timm/eva02_tiny_patch14_224.mim_in22k,32,3,0.012150227402330583,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_contains_text_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.11066695240986679,-0.07737378547879642
exp8,789,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.024107637800855668,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.14617526183216234,-0.13355803602530286
exp9,1000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.00037382440527660907,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_contains_text_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.11066695240986679,-0.07737378547879642
exp10,1000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,0.017186211637591133,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.14617526183216234,-0.13355803602530286
exp11,2000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.008004923133024382,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_contains_text_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.11066695240986679,-0.07737378547879642
exp12,2000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.039035434517068666,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.14617526183216234,-0.13355803602530286
exp13,3000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,0.02331278976925881,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_contains_text_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.11066695240986679,-0.07737378547879642
exp14,3000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.03730186288040784,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.14617526183216234,-0.13355803602530286
exp15,4000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,0.028426024425395657,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_contains_text_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.11066695240986679,-0.07737378547879642
exp16,4000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.014888311563677764,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.14617526183216234,-0.13355803602530286
