exp_name,seed,model_name,batch_size,epochs,ATE,desc,treatment_column,confounds_column,ATE_unadjusted,ATE_adjusted
exp19,700,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.13688246961060635,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.16413125035833842,-0.14501529384999173
exp20,700,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.12250271027554024,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.17633644682755129,-0.131416489095175
exp21,42,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.2038969021645764,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.16413125035833842,-0.14501529384999173
exp22,42,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.1978068370022906,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.17633644682755129,-0.131416489095175
exp23,123,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.1756777948052444,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.16413125035833842,-0.14501529384999173
exp24,123,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.17150924040252052,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.17633644682755129,-0.131416489095175
exp25,456,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.08796027868063157,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.16413125035833842,-0.14501529384999173
exp26,456,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.07817685949603231,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.17633644682755129,-0.131416489095175
exp27,789,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.15036217138450517,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.16413125035833842,-0.14501529384999173
exp28,789,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.14832878744908243,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.17633644682755129,-0.131416489095175
