Unnamed: 0,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,img_path,actual_price_yen,sharpness,sharpness_ave,avg_brightness,light_or_dark
11416,BIGOWL Travel Watch Airplane Wanderlust World Map Design Leather Strap Casual Wrist Watch for Women - Gifts for Travellers...,accessories,Watches,https://m.media-amazon.com/images/I/71ijjHCcPML._AC_UL320_.jpg,https://www.amazon.in/Travel-Watch-Airplane-Wanderlust-Travellers/dp/B072VP3YKN/ref=sr_1_11440?qid=1679156037&s=watches&sr=1-11440,3.1,5,,999.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/11416.jpg,109890.0,6887.452701740254,0,186.24263938643293,0
11417,Giordano Analogue Red Dial Women's Watch - 2820-11,accessories,Watches,https://m.media-amazon.com/images/I/61ODYy2G3UL._AC_UL320_.jpg,https://www.amazon.in/Giordano-Analog-Dial-Womens-Watch-2820-11/dp/B071XCHZSR/ref=sr_1_11441?qid=1679156037&s=watches&sr=1-11441,5.0,1,"₹3,580",8950.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/11417.jpg,984500.0,6293.224294629006,0,191.15470718129143,0
11419,Geneva Platinum Little Hearts Analog Multi-Colour Dial Women & Girls Watch - GP-293,accessories,Watches,https://m.media-amazon.com/images/I/61Miay-wsML._AC_UL320_.jpg,https://www.amazon.in/Geneva-Platinum-Little-Hearts-Multi-Colour/dp/B071169FNZ/ref=sr_1_11443?qid=1679156037&s=watches&sr=1-11443,4.0,12,₹319,999.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/11419.jpg,109890.0,6608.638897114051,0,158.02152528872278,0
11423,SWISSTYLE Analogue Black Dial Women's Watch - Ss-Lr097-Blk-Ch,accessories,Watches,https://m.media-amazon.com/images/I/91IbpwwUeXL._AC_UL320_.jpg,https://www.amazon.in/SWISSTYLE-Analogue-Black-Womens-Watch/dp/B01N56ZN0L/ref=sr_1_11451?qid=1679156037&s=watches&sr=1-11451,3.8,12,₹279,1999.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/11423.jpg,219890.0,40799.15609276919,1,180.225945248067,0
11424,Pappi-Haunt - Quality Assured - Kids First Choice - Birthday/Party Return Gift - Set of 24 Multicolor Multi-Design LED Ban...,accessories,Watches,https://m.media-amazon.com/images/I/71dijedpdCL._AC_UL320_.jpg,https://www.amazon.in/Pappi-Haunt-QUALITY-BIRTHDAY-MULTICOLOR-MULTI-DESIGN/dp/B01MEC1HS9/ref=sr_1_11452?qid=1679156037&s=watches&sr=1-11452,2.0,1,"₹2,299",2499.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/11424.jpg,274890.0,4740.342479954881,0,151.53955669348184,0
11425,K3 Enterprises Ultra Thin LED Digital Pink Dial Unisex Watch- LED Watch_Dark Pink,accessories,Watches,https://m.media-amazon.com/images/I/819+OmYYTgL._AC_UL320_.jpg,https://www.amazon.in/K3-Enterprises-Digital-Unisex-WATCH_PINK/dp/B01MDLFZXF/ref=sr_1_11453?qid=1679156037&s=watches&sr=1-11453,2.6,8,₹499,999.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/11425.jpg,109890.0,14929.429936766928,1,190.91730304166666,0
11426,Pappi-Haunt Sports Digital Multicolour Dial Boy's Watch,accessories,Watches,https://m.media-amazon.com/images/I/81pe1c82PPL._AC_UL320_.jpg,https://www.amazon.in/Pappi-Boss-Sports-Digital-Multicolour/dp/B01KRS1O7W/ref=sr_1_11454?qid=1679156037&s=watches&sr=1-11454,3.0,16,₹699,1499.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/11426.jpg,164890.0,9587.320364175419,1,136.7185905169025,0
11429,Pappi Boss Haunt Sports Digital Men's Watch (Black) - Pack of 2,accessories,Watches,https://m.media-amazon.com/images/I/817Y3DZgfbL._AC_UL320_.jpg,https://www.amazon.in/Pappi-Boss-Sports-Digital-Watch/dp/B01JM9DL2S/ref=sr_1_11457?qid=1679156037&s=watches&sr=1-11457,2.8,16,₹475,899.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/11429.jpg,98890.0,7897.77391302609,0,115.3871799877451,0
11431,Pappi-Haunt Digital Black Dial Kid's Watch (Pack of 2),accessories,Watches,https://m.media-amazon.com/images/I/612CNv5MOiL._AC_UL320_.jpg,https://www.amazon.in/Pappi-Boss-Digital-Black-Watch/dp/B01F9LPVQW/ref=sr_1_11459?qid=1679156037&s=watches&sr=1-11459,3.2,12,₹475,899.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/11431.jpg,98890.0,1613.983080848576,0,88.07591885775862,0
11432,BERING Classic Analog Blue Dial Women's Watch-14531-307,accessories,Watches,https://m.media-amazon.com/images/I/61MqH8BtXDL._AC_UL320_.jpg,https://www.amazon.in/Bering-Womens-Classic-Collection-Watch-14531-307/dp/B01EYQLACM/ref=sr_1_11460?qid=1679156037&s=watches&sr=1-11460,4.6,314,"₹20,330",21400.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/11432.jpg,2354000.0,19058.347336090796,1,165.94125892857141,0
